Datetime,Water Level (m)
2022-11-07 06:00:00,-0.43265474
2022-11-07 07:00:00,-0.6884766
2022-11-07 08:00:00,-0.7799683
2022-11-07 09:00:00,-0.6601346
2022-11-07 10:00:00,-0.3510436
2022-11-07 11:00:00,0.064929955
2022-11-07 12:00:00,0.47116226
2022-11-07 13:00:00,0.79280585
2022-11-07 14:00:00,0.9341805
2022-11-07 15:00:00,0.8786994
2022-11-07 16:00:00,0.63273376
2022-11-07 17:00:00,0.27850503
2022-11-07 18:00:00,-0.1103757
2022-11-07 19:00:00,-0.4383666
2022-11-07 20:00:00,-0.63516295
2022-11-07 21:00:00,-0.6278665
2022-11-07 22:00:00,-0.43492422
2022-11-07 23:00:00,-0.1168603
2022-11-08 00:00:00,0.24812086
2022-11-08 01:00:00,0.5445312
2022-11-08 02:00:00,0.6925608
2022-11-08 03:00:00,0.65556353
2022-11-08 04:00:00,0.4405601
2022-11-08 05:00:00,0.09148748
2022-11-08 06:00:00,-0.29471728
2022-11-08 07:00:00,-0.6085407
2022-11-08 08:00:00,-0.7826239
2022-11-08 09:00:00,-0.7649209
2022-11-08 10:00:00,-0.5413147
2022-11-08 11:00:00,-0.17257087
2022-11-08 12:00:00,0.2526415
2022-11-08 13:00:00,0.6363094
2022-11-08 14:00:00,0.8944349
2022-11-08 15:00:00,0.9486188
2022-11-08 16:00:00,0.80383664
2022-11-08 17:00:00,0.50562984
2022-11-08 18:00:00,0.11256484
2022-11-08 19:00:00,-0.27914304
2022-11-08 20:00:00,-0.56392
2022-11-08 21:00:00,-0.6684483
2022-11-08 22:00:00,-0.5758674
2022-11-08 23:00:00,-0.31741884
2022-11-09 00:00:00,0.027205545
2022-11-09 01:00:00,0.36081368
2022-11-09 02:00:00,0.58476514
2022-11-09 03:00:00,0.6401449
2022-11-09 04:00:00,0.5246826
2022-11-09 05:00:00,0.24692564
2022-11-09 06:00:00,-0.10889942
2022-11-09 07:00:00,-0.45221427
2022-11-09 08:00:00,-0.7018816
2022-11-09 09:00:00,-0.7928499
2022-11-09 10:00:00,-0.68030465
2022-11-09 11:00:00,-0.38818574
2022-11-09 12:00:00,0.012644864
2022-11-09 13:00:00,0.4314901
2022-11-09 14:00:00,0.76363736
2022-11-09 15:00:00,0.9210677
2022-11-09 16:00:00,0.8906499
2022-11-09 17:00:00,0.66965747
2022-11-09 18:00:00,0.32450187
2022-11-09 19:00:00,-0.07374747
2022-11-09 20:00:00,-0.4106431
2022-11-09 21:00:00,-0.6128894
2022-11-09 22:00:00,-0.6295542
2022-11-09 23:00:00,-0.47171474
2022-11-10 00:00:00,-0.18003477
2022-11-10 01:00:00,0.15417439
2022-11-10 02:00:00,0.42052254
2022-11-10 03:00:00,0.5623868
2022-11-10 04:00:00,0.53756493
2022-11-10 05:00:00,0.35202578
2022-11-10 06:00:00,0.055569872
2022-11-10 07:00:00,-0.28137648
2022-11-10 08:00:00,-0.57266474
2022-11-10 09:00:00,-0.7402856
2022-11-10 10:00:00,-0.72931045
2022-11-10 11:00:00,-0.53675175
2022-11-10 12:00:00,-0.21239212
2022-11-10 13:00:00,0.19654614
2022-11-10 14:00:00,0.5694762
2022-11-10 15:00:00,0.814159
2022-11-10 16:00:00,0.875924
2022-11-10 17:00:00,0.7663916
2022-11-10 18:00:00,0.5007746
2022-11-10 19:00:00,0.13961658
2022-11-10 20:00:00,-0.22042735
2022-11-10 21:00:00,-0.48862606
2022-11-10 22:00:00,-0.60280824
2022-11-10 23:00:00,-0.5474355
2022-11-11 00:00:00,-0.3394136
2022-11-11 01:00:00,-0.05085252
2022-11-11 02:00:00,0.23497407
2022-11-11 03:00:00,0.43535283
2022-11-11 04:00:00,0.49149194
2022-11-11 05:00:00,0.39160663
2022-11-11 06:00:00,0.17129448
2022-11-11 07:00:00,-0.11812718
2022-11-11 08:00:00,-0.4158116
2022-11-11 09:00:00,-0.63543534
2022-11-11 10:00:00,-0.7044164
2022-11-11 11:00:00,-0.6121935
2022-11-11 12:00:00,-0.37405068
2022-11-11 13:00:00,-0.026818108
2022-11-11 14:00:00,0.34908935
2022-11-11 15:00:00,0.64387983
2022-11-11 16:00:00,0.7908733
2022-11-11 17:00:00,0.7811183
2022-11-11 18:00:00,0.60760033
2022-11-11 19:00:00,0.31858933
2022-11-11 20:00:00,-0.018662225
2022-11-11 21:00:00,-0.30890366
2022-11-11 22:00:00,-0.49886963
2022-11-11 23:00:00,-0.5352094
2022-11-12 00:00:00,-0.4265507
2022-11-12 01:00:00,-0.211731
2022-11-12 02:00:00,0.050484285
2022-11-12 03:00:00,0.27411613
2022-11-12 04:00:00,0.39677927
2022-11-12 05:00:00,0.38432547
2022-11-12 06:00:00,0.24854185
2022-11-12 07:00:00,0.021283425
2022-11-12 08:00:00,-0.239603
2022-11-12 09:00:00,-0.4715096
2022-11-12 10:00:00,-0.612252
2022-11-12 11:00:00,-0.6083808
2022-11-12 12:00:00,-0.46330076
2022-11-12 13:00:00,-0.20142566
2022-11-12 14:00:00,0.1286582
2022-11-12 15:00:00,0.43701097
2022-11-12 16:00:00,0.6432567
2022-11-12 17:00:00,0.71103406
2022-11-12 18:00:00,0.63591146
2022-11-12 19:00:00,0.43483824
2022-11-12 20:00:00,0.15972564
2022-11-12 21:00:00,-0.11782699
2022-11-12 22:00:00,-0.33847424
2022-11-12 23:00:00,-0.45213673
2022-11-13 00:00:00,-0.43414477
2022-11-13 01:00:00,-0.31649154
2022-11-13 02:00:00,-0.12438142
2022-11-13 03:00:00,0.09344745
2022-11-13 04:00:00,0.25652596
2022-11-13 05:00:00,0.31682467
2022-11-13 06:00:00,0.26958394
